Name,Median price,Quarterly growth,12-month growth,Average Annual Growth,Weekly median advertised rent,Number of sales,Gross rental yield,Days on market
ALLAMBIE HEIGHTS,"$1,650,000",3.77%,6.45%,6.89%,$940,70,2.96%,50.2105263157895
ALLAWAH,"$1,305,000",3.57%,14.47%,6.84%,$605,11,2.41%,N/A
ALLGOMERA,,,,,,,,
ALLWORTH,"$260,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ALLYNBROOK,,,,,,,,
ALSTONVALE,"$950,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ALSTONVILLE,"$560,000",0.00%,-5.08%,3.06%,$490,66,4.55%,70.1860465116279
AMBARVALE,"$550,000",1.85%,3.77%,7.01%,$380,70,3.59%,29.7692307692308
ANDO,,,,,,,,
ANGLEDALE,,,,,,,,
ANGLERS REACH,"$230,000",N/A,N/A,N/A,N/A,11,N/A,N/A
ANGOURIE,,,,,,,,
ANNA BAY,"$557,500",0.00%,-6.30%,3.94%,$450,42,4.20%,86.1785714285714
ANNANDALE,"$1,650,000",2.80%,6.45%,6.48%,$810,118,2.55%,47.25
ANNANGROVE,"$2,131,000",0.00%,-16.04%,9.10%,$580,10,1.40%,N/A
APPIN,"$722,000",-0.41%,-6.84%,7.45%,$430,39,3.10%,65.84
APPLE TREE FLAT,,,,,,,,
APPLETREE FLAT,,,,,,,,
APSLEY,,,,,,,,
ARAKOON,"$624,750",N/A,N/A,25.96%,$500,10,4.16%,N/A
ARALUEN,"$540,000",60.00%,N/A,N/A,N/A,10,N/A,N/A
ARCADIA,"$1,432,500",2.32%,N/A,14.30%,N/A,12,N/A,N/A
ARCADIA VALE,"$498,000",-0.40%,-4.23%,3.80%,$410,30,4.28%,90.2380952380952
ARDING,,,,,,,,
ARDLETHAN,"$89,000",-1.11%,N/A,33.55%,N/A,12,N/A,N/A
ARGENTON,"$411,750",6.95%,-1.50%,5.11%,$370,24,4.67%,31.1176470588235
ARGENTS HILL,"$450,000",0.00%,16.88%,16.04%,$320,11,3.70%,62
ARGOON,,,,,,,,
ARGYLE,,,,,,,,
ARIAH PARK,"$92,500",0.00%,-26.00%,5.89%,$150,11,8.43%,158.33333
ARMATREE,,,,,,,,
ARMIDALE,"$345,000",-2.27%,-4.56%,1.70%,$340,328,5.12%,110.746543778802
ARNCLIFFE,"$1,100,000",0.00%,2.80%,6.46%,$625,63,2.95%,89.5909090909091
ARNDELL PARK,,,,,,,,
ARRAWARRA,,,,,,,,
ARRAWARRA HEADLAND,"$622,500",N/A,N/A,N/A,N/A,10,N/A,N/A
ARTARMON,"$2,950,000",8.46%,23.95%,8.18%,$983,32,1.73%,N/A
ARTHURVILLE,,,,,,,,
ASHBURY,"$1,453,000",1.96%,-0.48%,7.41%,$680,29,2.43%,N/A
ASHBY,"$515,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ASHBY HEIGHTS,"$296,000",-0.17%,N/A,N/A,N/A,10,N/A,N/A
ASHCROFT,"$615,000",0.00%,1.65%,8.05%,$380,35,3.21%,96.0588235294118
ASHFIELD,"$1,637,500",1.87%,8.88%,8.29%,$600,78,1.91%,57.1666666666667
ASHFORD,"$150,000",0.00%,N/A,2.78%,N/A,10,N/A,N/A
ASHLEY,"$210,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ASHMONT,"$222,500",5.95%,8.01%,1.87%,$250,55,5.84%,107.527777777778
ASHTONFIELD,"$550,000",-0.90%,-6.38%,3.95%,$450,65,4.25%,62.2407407407408
ASQUITH,"$1,211,000",0.50%,2.80%,8.60%,$580,29,2.49%,55.6428571428572
ATTUNGA,"$347,500",-6.65%,21.93%,7.86%,N/A,10,N/A,N/A
AUBURN,"$852,500",1.49%,1.55%,6.86%,$470,148,2.87%,75.5714285714286
AUBURN VALE,,,,,,,,
AUDLEY,,,,,,,,
AUSTINMER,"$1,330,000",10.83%,9.69%,7.44%,$730,18,2.85%,88.5384615384615
AUSTRAL,"$399,000",-2.68%,-7.21%,-3.32%,$530,195,6.91%,102.106382978723
AUSTRAL EDEN,,,,,,,,
AVALON,,,,,,,,
AVALON BEACH,"$1,980,000",1.54%,13.47%,7.32%,$800,158,2.10%,69.2340425531915
AVOCA,,,,,,,,
AVOCA BEACH,"$1,000,000",-2.91%,-4.76%,6.73%,$600,66,3.12%,41.4117647058824
AVONDALE,"$595,000",5.31%,3.93%,6.55%,$450,17,3.93%,27.9
AVONSIDE,,,,,,,,
AWABA,"$495,000",5.88%,N/A,N/A,N/A,11,N/A,N/A
AYLMERTON,"$385,000",N/A,N/A,N/A,N/A,11,N/A,N/A
BAAN BAA,,,,,,,,
BACK CREEK,,,,,,,,
BACK CREEK,,,,,,,,
BACK CREEK,,,,,,,,
BACK CREEK,,,,,,,,
BACK CREEK,,,,,,,,
BACK CREEK,,,,,,,,
BACKMEDE,,,,,,,,
BADGERYS CREEK,,,,,,,,
BAGNOO,,,,,,,,
BAKERS CREEK,,,,,,,,
BAKERS CREEK,,,,,,,,
BAKERS CREEK,,,,,,,,
BAKERS SWAMP,,,,,,,,
BALALA,,,,,,,,
BALCOLYN,"$552,500",-0.45%,-5.07%,5.75%,$420,16,3.95%,94.8181818181818
BALD HILLS,"$589,500",N/A,N/A,N/A,N/A,10,N/A,N/A
BALD RIDGE,,,,,,,,
BALDRY,,,,,,,,
BALGOWLAH,"$2,262,500",1.23%,5.79%,6.19%,"$1,015",72,2.33%,62.375
BALGOWLAH HEIGHTS,"$2,810,000",0.77%,11.95%,5.71%,"$1,400",35,2.59%,51.25
BALGOWNIE,"$855,000",3.01%,7.55%,5.86%,$500,58,3.04%,51.4166666666667
BALLADORAN,,,,,,,,
BALLALABA,,,,,,,,
BALLDALE,,,,,,,,
BALLENGARRA,,,,,,,,
BALLIMORE,,,,,,,,
BALLINA,"$625,000",0.00%,11.61%,4.70%,$500,94,4.16%,78.7872340425532
BALLYROE,,,,,,,,
BALMAIN,"$1,950,000",0.39%,7.44%,6.28%,$865,148,2.31%,50
BALMAIN EAST,"$3,000,000",6.67%,2.56%,8.66%,"$1,140",29,1.98%,76
BALMORAL,"$516,250",-1.67%,N/A,1.08%,N/A,12,N/A,N/A
BALMORAL,"$742,500",0.68%,N/A,N/A,N/A,10,N/A,N/A
BALRANALD,"$185,000",6.63%,2.78%,4.77%,N/A,20,N/A,N/A
BAMARANG,,,,,,,,
BANDON GROVE,,,,,,,,
BANGALEE,"$815,000",-5.23%,1.24%,5.70%,N/A,17,N/A,63.4615384615385
BANGALOW,"$1,025,000",2.50%,8.75%,5.92%,$675,60,3.42%,104.724137931035
BANGOR,"$1,053,000",4.26%,4.26%,5.69%,$710,62,3.51%,40.9666666666667
BANKSIA,"$1,095,000",3.55%,6.83%,7.82%,$600,35,2.85%,40.5384615384615
BANKSMEADOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BANKSTOWN,"$950,000",0.74%,5.56%,7.50%,$500,105,2.74%,81.75
BANKSTOWN NORTH,,,,,,,,
BANKSTOWN SQUARE,,,,,,,,
BANNABY,,,,,,,,
BANNISTER,,,,,,,,
BANORA POINT,"$631,000",1.41%,1.77%,3.02%,$570,241,4.70%,69.7168674698795
BAR BEACH,"$2,050,000",-12.77%,28.13%,8.71%,$460,13,1.17%,N/A
BAR POINT,"$385,000",-3.51%,N/A,N/A,N/A,13,N/A,N/A
BARADINE,"$90,000",4.05%,-10.00%,1.85%,N/A,11,N/A,N/A
BARANGAROO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BARDEN RIDGE,"$1,170,000",1.74%,1.74%,5.64%,$850,37,3.78%,89.1666666666667
BARDWELL PARK,"$1,200,000",3.90%,4.58%,5.85%,$720,19,3.12%,N/A
BARDWELL VALLEY,"$1,200,000",0.00%,9.09%,6.59%,N/A,16,N/A,N/A
BARELLAN,"$120,000",0.00%,N/A,N/A,N/A,11,N/A,N/A
BARGO,"$710,000",3.65%,10.94%,6.56%,$450,35,3.30%,82
BARHAM,"$240,000",-1.03%,0.84%,2.47%,N/A,27,N/A,113.875
BARKERS VALE,,,,,,,,
BARMEDMAN,"$104,000",N/A,N/A,-1.57%,N/A,10,N/A,N/A
BARNSLEY,"$447,500",-10.50%,-1.10%,4.14%,N/A,21,N/A,62.4375
BAROOGA,"$312,500",-5.59%,11.61%,3.42%,$313,36,5.20%,103.695652173913
BARRABA,"$140,000",-1.75%,9.38%,4.84%,N/A,28,N/A,162.769230769231
BARRACK HEIGHTS,"$555,000",-0.89%,-5.13%,6.70%,$450,61,4.22%,58.2888888888889
BARRACK POINT,"$1,502,500",-0.66%,N/A,15.42%,N/A,10,N/A,N/A
BARRAGANYATTI,,,,,,,,
BARRAGGA BAY,,,,,,,,
BARRENGARRY,"$980,000",3.16%,N/A,N/A,N/A,10,N/A,124.5
BARRINGTON,"$560,000",-3.51%,-11.29%,-11.29%,N/A,12,N/A,N/A
BARRY,,,,,,,,
BARYULGIL,,,,,,,,
BASIN VIEW,"$450,000",0.00%,0.00%,5.59%,$370,34,4.28%,80.92
BASS HILL,"$811,500",4.04%,1.44%,6.70%,$560,85,3.59%,77.9655172413793
BATEAU BAY,"$679,000",1.72%,-0.04%,6.47%,$455,179,3.48%,60.8682170542636
BATEHAVEN,"$500,000",-3.47%,1.01%,5.10%,$360,35,3.74%,108.714285714286
BATEMANS BAY,"$452,500",0.56%,13.84%,3.29%,$375,29,4.31%,131.7
BATHURST,"$390,000",-2.50%,-7.14%,4.03%,$340,134,4.53%,102.247058823529
BATLOW,"$185,000",-8.64%,8.82%,4.56%,N/A,18,N/A,N/A
BAULKHAM HILLS,"$1,201,500",1.82%,13.16%,8.06%,$560,354,2.42%,41.6666666666667
BAWLEY POINT,"$737,500",4.24%,22.92%,6.96%,"$1,088",14,7.67%,110.8
BAY VILLAGE,,,,,,,,
BAYVIEW,"$2,062,500",12.28%,12.28%,5.33%,"$1,100",42,2.77%,46.5
BEACON HILL,"$1,558,000",5.99%,14.56%,7.11%,$875,72,2.92%,32.5263157894737
BEACONSFIELD,"$1,862,000",15.65%,N/A,N/A,$890,11,2.49%,N/A
BEAUMONT,,,,,,,,
BEAUMONT HILLS,"$1,165,000",3.90%,6.27%,6.42%,$620,113,2.77%,37.7294117647059
BECKOM,,,,,,,,
BECTIVE,,,,,,,,
BECTRIC,,,,,,,,
BEDGEREBONG,,,,,,,,
BEECHWOOD,"$304,500",7.79%,-3.49%,-2.28%,N/A,20,N/A,134.727272727273
BEECROFT,"$1,680,000",0.30%,1.20%,7.20%,$730,109,2.26%,67.3666666666667
BEELBANGERA,"$260,000",-12.90%,N/A,N/A,N/A,12,N/A,N/A
BEGA,"$375,000",0.00%,-5.54%,4.79%,$350,74,4.85%,104.612244897959
BELBORA,,,,,,,,
BELFIELD,"$1,302,500",10.38%,20.88%,7.89%,$550,42,2.20%,N/A
BELFORD,,,,,,,,
BELGRAVIA,,,,,,,,
BELIMBLA PARK,"$1,220,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BELL,,,,,,,,
BELLA VISTA,"$1,562,500",-6.58%,1.53%,6.90%,$740,87,2.46%,46.9183673469388
BELLAMBI,"$747,500",7.17%,4.84%,7.61%,$440,24,3.06%,33.9
BELLANGRY,,,,,,,,
BELLATA,,,,,,,,
BELLAWONGARAH,"$1,617,500",N/A,N/A,N/A,N/A,10,N/A,N/A
BELLBIRD,"$338,750",3.44%,4.88%,5.11%,$300,45,4.61%,84.1034482758621
BELLBROOK,"$222,500",N/A,N/A,N/A,N/A,11,N/A,N/A
BELLEVUE HILL,"$6,275,000",6.81%,10.09%,5.68%,"$1,888",72,1.56%,65.3125
BELLIMBOPINNI,,,,,,,,
BELLINGEN,"$625,000",-0.79%,15.74%,6.82%,$420,58,3.49%,97.7586206896552
BELLMOUNT FOREST,,,,,,,,
BELMONT,"$596,250",-1.45%,-5.36%,4.98%,$400,100,3.49%,74.5138888888889
BELMONT NORTH,"$550,000",-1.79%,-5.58%,4.56%,$420,87,3.97%,62.3928571428572
BELMONT SOUTH,"$527,000",-3.66%,-15.68%,5.71%,$385,22,3.80%,119.333333333333
BELMORE,"$1,005,000",0.00%,5.79%,6.76%,$550,67,2.85%,52.8571428571429
BELMORE RIVER,,,,,,,,
BELROSE,"$1,610,000",3.87%,11.81%,6.87%,$998,76,3.22%,49.7
BELROSE WEST,,,,,,,,
BEMBOKA,"$342,500",-9.15%,22.32%,9.49%,N/A,10,N/A,N/A
BEN LOMOND,,,,,,,,
BENANDARAH,,,,,,,,
BENDALONG,"$765,000",4.79%,15.91%,18.50%,$240,11,1.63%,10
BENDEMEER,"$200,000",-10.11%,N/A,-16.85%,N/A,12,N/A,N/A
BENDICK MURRELL,,,,,,,,
BENDOLBA,,,,,,,,
BENEREMBAH,,,,,,,,
BENNETTS GREEN,,,,,,,,
BENSVILLE,"$792,500",5.53%,-6.49%,5.69%,$540,39,3.54%,67.3333333333333
BENTLEY,"$367,000",-4.92%,N/A,N/A,N/A,10,N/A,N/A
BERALA,"$905,000",4.26%,6.47%,7.76%,$450,49,2.59%,51.85
BERAMBING,,,,,,,,
BERESFIELD,"$385,000",0.65%,-1.28%,4.31%,$360,47,4.86%,51.3888888888889
BERGALIA,,,,,,,,
BERKELEY,"$515,000",7.82%,3.21%,7.25%,$428,87,4.32%,64.953125
BERKELEY VALE,"$580,000",3.57%,3.02%,6.52%,$445,146,3.99%,53.5591397849462
BERKSHIRE PARK,"$1,700,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BERMAGUI,"$621,450",-0.33%,12.99%,5.81%,N/A,39,N/A,121.846153846154
BEROWRA,"$1,045,000",0.00%,-4.57%,6.43%,$628,60,3.12%,42.6363636363636
BEROWRA HEIGHTS,"$984,000",2.66%,7.54%,6.09%,$600,55,3.17%,82.4074074074074
BEROWRA WATERS,"$742,500",N/A,N/A,N/A,N/A,10,N/A,N/A
BERRAMBOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BERRARA,"$563,500",-9.11%,-22.81%,9.34%,N/A,10,N/A,N/A
BERRIDALE,"$311,000",-5.76%,0.32%,6.06%,$393,28,6.56%,94.75
BERRIGAN,"$164,000",3.31%,22.62%,10.63%,$168,30,5.31%,97.0714285714286
BERRILEE,,,,,,,,
BERRIMA,"$1,200,000",0.00%,N/A,16.05%,N/A,11,N/A,N/A
BERRINGER LAKE,,,,,,,,
BERRY,"$1,045,000",-0.95%,-17.72%,7.97%,$530,62,2.64%,132.266666666667
BERRY PARK,,,,,,,,
BETHUNGRA,,,,,,,,
BEVERLEY PARK,"$1,285,000",11.74%,3.42%,4.78%,$660,23,2.67%,N/A
BEVERLY HILLS,"$1,182,900",0.67%,5.62%,7.31%,$598,78,2.63%,51.0909090909091
BEXHILL,"$685,000",2.19%,18.85%,12.77%,N/A,10,N/A,N/A
BEXLEY,"$1,230,000",4.46%,23.00%,7.16%,$600,107,2.54%,76.3478260869565
BEXLEY NORTH,"$1,225,000",3.38%,2.51%,6.17%,$600,28,2.55%,36.6428571428571
BEXLEY SOUTH,,,,,,,,
BIBBENLUKE,,,,,,,,
BIDWILL,"$477,500",-1.55%,-4.21%,7.89%,$330,26,3.59%,93.4545454545455
BIELSDOWN HILLS,,,,,,,,
BIG HILL,,,,,,,,
BIG SPRINGS,,,,,,,,
BIGGA,"$202,750",N/A,N/A,N/A,N/A,10,N/A,N/A
BILAMBIL,"$767,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BILAMBIL HEIGHTS,"$575,000",0.00%,3.60%,3.00%,$578,69,5.22%,73.2264150943396
BILBUL,"$445,000",23.61%,N/A,-34.10%,N/A,12,N/A,N/A
BILGOLA,"$1,175,000",9.30%,6.58%,6.58%,N/A,10,N/A,N/A
BILLIMARI,,,,,,,,
BILLINUDGEL,"$902,050",N/A,N/A,N/A,N/A,10,N/A,N/A
BILLYWILLINGA,,,,,,,,
BILPIN,"$800,000",N/A,N/A,6.85%,N/A,10,N/A,N/A
BIMBI,,,,,,,,
BIMBIMBIE,,,,,,,,
BINALONG,"$297,500",6.25%,34.06%,0.79%,N/A,12,N/A,93.6
BINDA,,,,,,,,
BINGARA,"$199,000",0.00%,-7.44%,6.80%,$230,25,6.01%,N/A
BINGIE,,,,,,,,
BINJURA,"$520,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BINNA BURRA,,,,,,,,
BINNAWAY,"$95,000",-2.56%,-3.55%,2.36%,N/A,13,N/A,N/A
BINYA,,,,,,,,
BIRCHGROVE,"$2,110,000",0.00%,4.46%,6.07%,$900,41,2.22%,N/A
BIRMINGHAM GARDENS,"$447,500",6.55%,2.87%,3.97%,$380,47,4.42%,49.6052631578947
BIRRIWA,,,,,,,,
BIRRONG,"$814,000",1.75%,5.03%,6.88%,$490,23,3.13%,N/A
BISHOPS BRIDGE,,,,,,,,
BITHRAMERE,,,,,,,,
BLACK CREEK,,,,,,,,
BLACK CREEK,,,,,,,,
BLACK HEAD,"$647,500",0.00%,N/A,5.86%,$380,20,3.05%,122.714285714286
BLACK HILL,"$1,250,000",11.11%,N/A,N/A,N/A,11,N/A,N/A
BLACK MOUNTAIN,,,,,,,,
BLACK RANGE,,,,,,,,
BLACK SPRINGS,"$360,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BLACKALLS PARK,"$465,000",3.10%,2.20%,5.14%,$360,37,4.03%,85.125
BLACKBUTT,"$660,000",-0.38%,-7.04%,4.74%,$520,30,4.10%,47.0625
BLACKETT,"$460,000",0.00%,-4.27%,7.75%,$310,27,3.50%,69.6666666666667
BLACKHEATH,"$580,000",-5.23%,0.00%,6.01%,$400,130,3.59%,53.5844155844156
BLACKMANS POINT,,,,,,,,
BLACKSMITHS,"$672,500",0.37%,-6.60%,6.03%,$430,31,3.32%,116.388888888889
BLACKTOWN,"$698,000",1.16%,2.31%,7.49%,$395,409,2.94%,49.2522935779817
BLACKTOWN WESTPOINT,,,,,,,,
BLACKWALL,"$676,000",9.03%,-6.76%,7.45%,$375,20,2.88%,N/A
BLAIR ATHOL,"$697,000",0.00%,-4.52%,6.54%,$490,30,3.66%,75.4
BLAIRMOUNT,"$543,000",6.37%,30.84%,30.84%,N/A,12,N/A,17.3
BLAKEBROOK,,,,,,,,
BLAKEHURST,"$1,634,900",3.80%,7.21%,6.57%,$750,74,2.39%,78.2083333333333
BLAXCELL,,,,,,,,
BLAXLAND,"$720,000",-0.69%,-2.64%,5.80%,$450,97,3.25%,38.3492063492064
BLAXLAND EAST,,,,,,,,
BLAXLANDS CREEK,,,,,,,,
BLAXLANDS RIDGE,"$1,266,875",1.68%,-0.64%,21.23%,N/A,11,N/A,N/A
BLAYNEY,"$325,000",3.59%,8.33%,5.75%,$295,58,4.72%,128.485714285714
BLENHEIM ROAD,,,,,,,,
BLIGH PARK,"$660,000",0.00%,-2.22%,6.14%,$425,87,3.35%,63.6666666666667
BLIGHTY,,,,,,,,
BLUE BAY,"$815,000",-7.39%,N/A,11.18%,$450,16,2.87%,94.9
BLUE HAVEN,"$492,000",2.50%,-1.60%,5.09%,$393,110,4.15%,59.1410256410256
BLUEYS BEACH,"$655,000",-47.67%,-38.78%,4.15%,N/A,10,N/A,N/A
BOAMBEE,"$772,500",4.53%,2.66%,5.04%,$385,20,2.59%,124.1
BOAMBEE EAST,"$523,750",5.28%,10.26%,4.76%,$430,88,4.27%,99.7758620689655
BOAT HARBOUR,,,,,,,,
BOAT HARBOUR,"$745,000",6.43%,7.58%,5.59%,$490,27,3.42%,81.5333333333333
BOBIN,"$546,000",N/A,N/A,N/A,N/A,11,N/A,N/A
BOBS CREEK,,,,,,,,
BOBS FARM,"$570,000",9.62%,-6.56%,-11.50%,N/A,11,N/A,N/A
BOCOBLE,,,,,,,,
BODALLA,"$487,500",-1.02%,8.82%,10.24%,N/A,10,N/A,N/A
BODANGORA,,,,,,,,
BOGAN,,,,,,,,
BOGAN,,,,,,,,
BOGAN GATE,"$93,500",N/A,N/A,N/A,N/A,10,N/A,N/A
BOGANGAR,"$845,750",6.05%,12.39%,5.78%,$535,28,3.29%,37.35
BOGGABILLA,"$70,000",0.00%,-8.33%,-8.33%,N/A,18,N/A,N/A
BOGGABRI,"$180,000",-7.69%,-8.86%,3.71%,$330,19,9.53%,181.583333333333
BOHENA CREEK,,,,,,,,
BOHNOCK,,,,,,,,
BOLIVIA,,,,,,,,
BOLONG,,,,,,,,
BOLTON POINT,"$492,500",7.77%,18.96%,8.09%,$385,35,4.06%,73.8888888888889
BOLWARRA,"$555,000",4.23%,4.72%,3.25%,$465,26,4.36%,139
BOLWARRA HEIGHTS,"$665,000",2.31%,5.56%,4.85%,$445,56,3.48%,101.413043478261
BOMADERRY,"$450,000",-3.23%,-3.23%,6.30%,$398,101,4.59%,96.9354838709678
BOMBALA,"$260,000",8.33%,24.85%,5.41%,$280,27,5.60%,106.4
BOMBIRA,"$877,500",-1.40%,N/A,N/A,N/A,10,N/A,N/A
BOMBO,"$995,000",N/A,N/A,N/A,N/A,11,N/A,N/A
BOMBOWLEE,,,,,,,,
BOMEN,,,,,,,,
BOMERA,,,,,,,,
BONALBO,"$155,000",1.31%,4.03%,1.27%,N/A,16,N/A,N/A
BONDI,"$2,950,000",5.36%,34.09%,9.15%,"$1,150",50,2.03%,74.3
BONDI BEACH,"$2,850,000",1.42%,20.38%,7.33%,"$1,180",37,2.15%,N/A
BONDI JUNCTION,"$2,065,000",4.56%,1.72%,5.90%,$946,59,2.38%,60.1052631578947
BONNELLS BAY,"$595,000",0.85%,0.85%,6.49%,$390,66,3.41%,77.6
BONNET BAY,"$1,295,000",8.82%,21.03%,6.87%,$790,25,3.17%,N/A
BONNY HILLS,"$617,800",-0.35%,-7.10%,4.24%,$430,50,3.62%,103.970588235294
BONNYRIGG,"$729,900",1.66%,7.34%,6.78%,$478,65,3.40%,122.578947368421
BONNYRIGG HEIGHTS,"$831,000",3.23%,15.26%,7.40%,$480,37,3.00%,83.4761904761905
BONSHAW,,,,,,,,
BONVILLE,,,,,,,,
BOOERIE CREEK,,,,,,,,
BOOK BOOK,,,,,,,,
BOOKER BAY,"$810,000",1.25%,16.13%,8.05%,$470,13,3.02%,N/A
BOOKHAM,,,,,,,,
BOOLAMBAYTE,,,,,,,,
BOOLAROO,"$492,500",2.07%,20.71%,6.36%,$448,38,4.72%,74.88
BOOLIGAL,,,,,,,,
BOOMANOOMANA,,,,,,,,
BOOMERANG BEACH,"$690,000",0.00%,N/A,N/A,N/A,20,N/A,N/A
BOOMI,,,,,,,,
BOONOO BOONOO,,,,,,,,
BOORABEE PARK,,,,,,,,
BOORAGUL,"$470,000",11.90%,3.18%,5.91%,$400,21,4.43%,44.5
BOORAL,"$705,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BOOROOMA,"$459,000",-0.22%,-0.22%,3.18%,$460,54,5.21%,110.193548387097
BOOROWA,"$264,250",3.63%,5.70%,3.75%,N/A,28,N/A,135.166666666667
BOOTAWA,"$481,250",N/A,N/A,N/A,N/A,10,N/A,N/A
BOOYONG,,,,,,,,
BORA RIDGE,,,,,,,,
BORAMBOLA,,,,,,,,
BOREE,,,,,,,,
BOREE CREEK,,,,,,,,
BORENORE,"$885,750",-1.58%,N/A,N/A,N/A,10,N/A,N/A
BORO,,,,,,,,
BORONIA PARK,,,,,,,,
BOSSLEY PARK,"$815,000",0.00%,6.68%,7.05%,$480,89,3.06%,55.7916666666667
BOSTOBRICK,,,,,,,,
BOTANY,"$1,513,750",0.92%,10.49%,8.31%,$780,69,2.68%,95.1578947368421
BOURKE,"$70,000",-22.22%,N/A,N/A,$250,17,N/A,150.4
BOURKELANDS,"$440,625",1.29%,2.47%,1.64%,$420,63,4.96%,80.25
BOURNDA,,,,,,,,
BOW BOWING,"$597,000",1.88%,5.66%,6.57%,$430,24,3.75%,41.2105263157895
BOWEN MOUNTAIN,"$620,000",0.81%,1.85%,5.34%,$448,36,3.75%,103.736842105263
BOWENFELS,"$318,000",0.00%,-2.15%,5.99%,$293,29,4.78%,131.222222222222
BOWMAN,,,,,,,,
BOWNA,,,,,,,,
BOWNING,"$370,000",9.47%,20.92%,-1.29%,N/A,11,N/A,N/A
BOWRAL,"$1,100,000",10.00%,19.40%,8.24%,$550,218,2.60%,96.6508875739645
BOWRAVILLE,"$255,000",-4.67%,-8.93%,6.01%,N/A,23,N/A,106.5
BOX HILL,"$520,000",-18.05%,-31.58%,-12.53%,$550,217,5.50%,96.5573770491803
BOYDTOWN,,,,,,,,
BRADBURY,"$570,500",2.06%,5.65%,6.86%,$380,119,3.46%,46.2117647058824
BRAEMAR,"$667,500",1.14%,1.14%,4.57%,$550,16,4.28%,N/A
BRAEMAR BAY,,,,,,,,
BRAIDWOOD,"$470,000",-6.93%,-4.57%,5.91%,$400,25,4.43%,101.7
BRANDY HILL,"$762,500",-11.59%,-7.46%,2.95%,N/A,10,N/A,N/A
BRANXTON,"$490,000",-10.09%,-19.67%,6.95%,$350,31,3.71%,70.9565217391304
BRAUNSTONE,,,,,,,,
BRAY PARK,"$457,000",-1.72%,1.56%,4.53%,$413,10,4.69%,N/A
BRAYS CREEK,,,,,,,,
BREADALBANE,,,,,,,,
BREAKFAST POINT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BREDBO,"$420,000",1.82%,N/A,N/A,N/A,11,N/A,N/A
BREEZA,,,,,,,,
BREWARRINA,"$53,000",N/A,N/A,N/A,N/A,11,N/A,N/A
BREWONGLE,,,,,,,,
BRIBBAREE,,,,,,,,
BRIERFIELD,,,,,,,,
