Label,Weekly median advertised rent
BLAIRMOUNT,N/A
BLAKEBROOK,
BLAKEHURST,$750 
BLAXCELL,
BLAXLAND,$450 
BLAXLAND EAST,
BLAXLANDS CREEK,
BLAXLANDS RIDGE,N/A
BLAYNEY,$295 
BLENHEIM ROAD,
BLIGH PARK,$425 
BLIGHTY,
BLUE BAY,$450 
BLUE HAVEN,$393 
BLUEYS BEACH,N/A
BOAMBEE,$385 
BOAMBEE EAST,$430 
BOAT HARBOUR,
BOAT HARBOUR,$490 
BOBIN,N/A
BOBS CREEK,
BOBS FARM,N/A
BOCOBLE,
BODALLA,N/A
BODANGORA,
BOGAN,
BOGAN,
BOGAN GATE,N/A
BOGANGAR,$535 
BOGGABILLA,N/A
BOGGABRI,$330 
BOHENA CREEK,
BOHNOCK,
BOLIVIA,
BOLONG,
BOLTON POINT,$385 
BOLWARRA,$465 
BOLWARRA HEIGHTS,$445 
BOMADERRY,$398 
BOMBALA,$280 
BOMBIRA,N/A
BOMBO,N/A
BOMBOWLEE,
BOMEN,
BOMERA,
BONALBO,N/A
BONDI,"$1,150 "
BONDI BEACH,"$1,180 "
BONDI JUNCTION,$946 
BONNELLS BAY,$390 
BONNET BAY,$790 
BONNY HILLS,$430 
BONNYRIGG,$478 
BONNYRIGG HEIGHTS,$480 
BONSHAW,
BONVILLE,
BOOERIE CREEK,
BOOK BOOK,
BOOKER BAY,$470 
BOOKHAM,
BOOLAMBAYTE,
BOOLAROO,$448 
BOOLIGAL,
BOOMANOOMANA,
BOOMERANG BEACH,N/A
BOOMI,
BOONOO BOONOO,
BOORABEE PARK,
BOORAGUL,$400 
BOORAL,N/A
BOOROOMA,$460 
BOOROWA,N/A
BOOTAWA,N/A
BOOYONG,
BORA RIDGE,
BORAMBOLA,
BOREE,
BOREE CREEK,
BORENORE,N/A
BORO,
BORONIA PARK,
BOSSLEY PARK,$480 
BOSTOBRICK,
BOTANY,$780 
BOURKE,$250 
BOURKELANDS,$420 
BOURNDA,
BOW BOWING,$430 
BOWEN MOUNTAIN,$448 
BOWENFELS,$293 
BOWMAN,
BOWNA,
BOWNING,N/A
BOWRAL,$550 
BOWRAVILLE,N/A
BOX HILL,$550 
BOYDTOWN,
BRADBURY,$380 
BRAEMAR,$550 
BRAEMAR BAY,
BRAIDWOOD,$400 
BRANDY HILL,N/A
BRANXTON,$350 
BRAUNSTONE,
BRAY PARK,$413 
BRAYS CREEK,
BREADALBANE,
BREAKFAST POINT,N/A
BREDBO,N/A
BREEZA,
BREWARRINA,N/A
BREWONGLE,
BRIBBAREE,
BRIERFIELD,
BRIGHTON LE SANDS,$650 
BRIGHTWATERS,$350 
BRIMBIN,
BRINDABELLA,
BRINGELLY,$600 
BRINGENBRONG,
BROADMEADOW,$415 
BROADWATER,
BROADWATER,N/A
BROADWAY,
BROCKLEHURST,
BROCKLESBY,
BROGO,N/A
BROKE,N/A
BROKEN HEAD,
BROKEN HILL,$260 
BROKEN HILL NORTH,
BROKEN HILL WEST,
BROMBIN,
BRONTE,"$1,335 "
BROOKDALE,
BROOKFIELD,
BROOKLANA,
BROOKLET,
BROOKLYN,$550 
BROOKVALE,$790 
BROOMS HEAD,$530 
BROUGHTON,
BROUGHTON VALE,N/A
BROUGHTON VILLAGE,
BROULEE,$450 
BROWNLOW HILL,N/A
BROWNS CREEK,
BROWNSVILLE,N/A
BRUCEDALE,
BRUNDEE,
BRUNGLE,
BRUNKERVILLE,
BRUNSWICK HEADS,$650 
BRUSHGROVE,N/A
BUCCA,N/A
BUCCA WAUKA,
BUCHANAN,
BUCKAJO,N/A
BUCKENBOWRA,
BUCKETTY,
BUDDEROO,
BUDGEE BUDGEE,N/A
BUDGEWOI,$350 
BUFF POINT,$390 
BUKKULLA,
BULAHDELAH,$350 
BULGA,N/A
BULLABURRA,$378 
BULLI,$593 
BUMBALDRY,N/A
BUNDABAH,N/A
BUNDANOON,$490 
BUNDARRA,N/A
BUNDEENA,$600 
BUNDOOK,
BUNGALORA,
BUNGARBY,
BUNGAWALBIN,
BUNGENDORE,$580 
BUNGONIA,N/A
BUNGWAHL,N/A
BUNNALOO,
BUNNAN,
BUNYAH,
BUNYAN,
BURCHER,
BURONGA,N/A
BURRA,
BURRA,N/A
BURRADOO,$750 
BURRAGA,
BURRAGATE,
BURRANEER,"$1,125 "
BURRANGONG,N/A
BURRAWANG,N/A
BURRELL CREEK,N/A
BURREN JUNCTION,
BURRIER,
BURRILL LAKE,$380 
BURRINGBAR,N/A
BURRINJUCK,
BURRUMBUTTOCK,N/A
BURWOOD,$650 
BURWOOD HEIGHTS,N/A
BURWOOD NORTH,
BUSBY,$360 
BUTTABA,$475 
BUTTERWICK,
BUXTON,$410 
BYABARRA,N/A
BYANGUM,
BYLONG,
BYROCK,
BYRON BAY,$780 
BYWONG,N/A
CABARITA,"$1,100 "
CABARITA BEACH,N/A
CABBAGE TREE ISLAND,
CABBAGE TREE ISLAND,
CABRAMATTA,$400 
CABRAMATTA WEST,$400 
CABRAMURRA,
CAFFREYS FLAT,
CALALA,$395 
CALDERWOOD,$570 
CALDWELL,
CALGA,
CALLAGHAN,
CALLALA BAY,$370 
CALLALA BEACH,$320 
CALOOLA,
CAMBERWELL,
CAMBEWARRA,N/A
CAMBRIDGE GARDENS,$435 
CAMBRIDGE PARK,$380 
CAMDEN,$420 
CAMDEN HEAD,N/A
CAMDEN PARK,$580 
CAMDEN SOUTH,$470 
CAMELLIA,
CAMERON PARK,$510 
CAMMERAY,"$1,150 "
CAMP CREEK,
CAMPBELLTOWN,$380 
CAMPBELLTOWN NORTH,
CAMPERDOWN,$750 
CAMPSIE,$540 
CAMS WHARF,N/A
CANADA BAY,$725 
CANDELO,N/A
CANGAI,
CANIABA,N/A
CANLEY HEIGHTS,$450 
CANLEY VALE,$410 
CANOBOLAS,N/A
CANOELANDS,
CANONBA,
CANOWINDRA,$300 
CANTERBURY,$580 
CANTON BEACH,$370 
CANYONLEIGH,N/A
CAPARRA,
CAPERTEE,N/A
CAPTAINS FLAT,N/A
CARABOST,
CARAGABAL,
CARCOAR,N/A
CARDIFF,$400 
CARDIFF HEIGHTS,$440 
CARDIFF SOUTH,$420 
CAREY BAY,$400 
CARGO,N/A
CARINDA,N/A
CARINGBAH,$700 
CARINGBAH SOUTH,$750 
CARLINGFORD,$605 
CARLINGFORD COURT,
CARLINGFORD NORTH,
CARLTON,$575 
CAROOL,
CAROONA,
CARRAMAR,$395 
CARRATHOOL,
CARRINGTON,$450 
CARRINGTON,
CARROLL,N/A
CARROWBROOK,
CARRS CREEK,
CARSS PARK,N/A
CARTWRIGHT,$388 
CARTWRIGHTS HILL,
CARWOOLA,N/A
CASINO,$320 
CASSILIS,
CASTLE COVE,"$1,000 "
CASTLE DOYLE,
CASTLE HILL,$650 
CASTLECRAG,"$1,038 "
CASTLEREAGH,$750 
CASUARINA,$790 
CASULA,$485 
CASULA MALL,
CATALINA,$400 
CATHCART,
CATHERINE FIELD,$530 
CATHERINE HILL BAY,$650 
CATTAI,N/A
CAVES BEACH,$475 
CAWDOR,N/A
CAWONGLA,N/A
CECIL HILLS,$550 
CECIL PARK,N/A
CEDAR BRUSH CREEK,
CEDAR CREEK,
CEDAR CREEK,
CEDAR PARTY,N/A
CELLS RIVER,
CENTENNIAL PARK,N/A
CENTRAL MACDONALD,
CENTRAL MANGROVE,
CENTRAL TILBA,N/A
CESSNOCK,$330 
CESSNOCK WEST,
CHAIN VALLEY BAY,$370 
CHAKOLA,
CHAMBIGNE,
CHARBON,
CHARLES STURT UNIVERSITY,
CHARLES STURT UNIVERSITY,
CHARLESTOWN,$430 
CHARLOTTE BAY,
CHARMHAVEN,$370 
CHATHAM,
CHATSWOOD,$900 
CHATSWOOD WEST,"$1,000 "
CHATSWORTH,
CHEERO POINT,
CHELTENHAM,$738 
CHERRYBROOK,$750 
CHESTER HILL,$465 
CHIFLEY,"$1,000 "
CHILCOTTS GRASS,
CHILLINGHAM,N/A
CHINDERAH,N/A
CHIPPENDALE,$895 
CHIPPING NORTON,$580 
CHISHOLM,$530 
CHISWICK,N/A
CHITTAWAY BAY,$445 
CHITTAWAY POINT,$345 
CHULLORA,N/A
CHURCH POINT,$885 
CLANDULLA,N/A
CLAREMONT MEADOWS,$425 
CLARENCE,N/A
CLARENCE TOWN,$370 
CLARENDON,
CLARENZA,N/A
CLAYMORE,$500 
CLEAR CREEK,
CLEMTON PARK,$608 
CLERGATE,
CLIFTLEIGH,$430 
CLIFTON,
CLIFTON GROVE,N/A
CLONTARF,"$1,448 "
CLOTHIERS CREEK,
CLOVELLY,"$1,375 "
CLOVELLY WEST,
CLUNES,$520 
CLYBUCCA,N/A
CLYDE,
COAL POINT,$550 
COALCLIFF,
COALDALE,
COBAKI,
COBAR,$270 
COBAR PARK,
COBARGO,N/A
COBBITTY,$500 
COFFS HARBOUR,$450 
COFFS HARBOUR JETTY,
COFFS HARBOUR PLAZA,
COILA,
COLEAMBALLY,$280 
COLEDALE,N/A
COLLARENEBRI,N/A
COLLAROY,"$1,100 "
COLLAROY BEACH,
COLLAROY PLATEAU WEST,
COLLECTOR,N/A
COLLIE,
COLLINGULLIE,N/A
COLLINS CREEK,
COLO,
COLO,
COLO HEIGHTS,N/A
COLO VALE,$440 
COLYTON,$370 
COMARA,
COMBANING,
COMBARA,
COMBOYNE,N/A
COME BY CHANCE,
COMO,$650 
CONARGO,
CONCORD,$738 
CONCORD WEST,$705 
CONDELL PARK,$600 
CONDOBOLIN,$245 
CONDONG,N/A
CONGARINNI,
CONGARINNI NORTH,
CONGEWAI,
CONGO,N/A
CONISTON,$450 
CONJOLA,
CONJOLA PARK,$330 
CONNELLS POINT,$805 
CONSTITUTION HILL,$450 
COOGEE,$990 
COOKAMIDGERA,
COOKARDINIA,
COOKS GAP,N/A
COOKS HILL,$550 
COOLABAH,
COOLAC,
COOLAGOLITE,N/A
COOLAH,N/A
COOLAMON,$275 
COOLANGATTA,N/A
COOLATAI,
COOLEYS CREEK,
COOLGARDIE,
COOLONGOLOOK,N/A
COOMA,$320 
COOMA NORTH,
COOMBA BAY,
COOMBA PARK,$320 
COONABARABRAN,$245 
COONAMBLE,$200 
COONGBAR,
COOPERABUNG,
COOPERNOOK,N/A
COOPERS GULLY,
COOPERS SHOOT,N/A
COORABELL,$760 
COORANBONG,$420 
COOTAMUNDRA,$280 
COOTRALANTRA,
COOYAL,
COPACABANA,$600 
COPELAND,
COPMANHURST,N/A
CORAKI,$350 
CORALVILLE,
CORAMBA,N/A
CORBIE HILL,
CORDEAUX HEIGHTS,$600 
CORINDI BEACH,$460 
CORLETTE,$500 
CORNDALE,N/A
CORNWALLIS,
COROBIMILLA,
COROWA,$280 
CORRIMAL,$490 
COTTAGE POINT,
COURABYRA,
COURIDJAH,N/A
COUTTS CROSSING,N/A
COW FLAT,
COWAN,N/A
COWPER,
COWRA,$270 
CRABBES CREEK,N/A
CRACKENBACK,N/A
CRAIGIE,
CRANEBROOK,$430 
CRAVEN,
CREMORNE,"$1,050 "
CREMORNE JUNCTION,
CREMORNE POINT,N/A
CRESCENT HEAD,$418 
CRESTWOOD,$480 
CRINGILA,$385 
CROMER,$900 
CRONULLA,$863 
CROOKED CORNER,
CROOKWELL,$340 
CROPPA CREEK,
CROSSLANDS,N/A
CROUDACE BAY,N/A
CROWDY HEAD,
CROWS NEST,$950 
CROWTHER,
CROYDON,$650 
CROYDON PARK,$575 
CRUDINE,
CRYON,
CRYSTAL CREEK,
CUDAL,N/A
CUDGEN,N/A
CUDGERA CREEK,
CUDMIRRAH,N/A
CULBURRA BEACH,$340 
CULCAIRN,$250 
CULLEN BULLEN,N/A
CUMBALUM,$600 
CUMBERLAND REACH,
CUMBORAH,
CUMNOCK,N/A
CUNDLETOWN,$350 
CUNJURONG POINT,$195 
CURBAN,
CURL CURL,$985 
CURLEWIS,$300 
CURLWAA,N/A
CURRA CREEK,
CURRABUBULA,N/A
CURRANS HILL,$440 
CURRARONG,N/A
CURRAWANG,
CURRAWARNA,
CURROWAN,
CUTTABRI,
CUTTAGEE,
DACEYVILLE,
DAIRYMANS PLAINS,
DALEYS POINT,N/A
DALGETY,N/A
DALMENY,$390 
DALTON,
DALWOOD,
DALWOOD,
DANGAR,
DANGAR ISLAND,N/A
DANGARSLEIGH,
DAPTO,$450 
DARAWANK,N/A
DARBYS FALLS,N/A
DARETON,N/A
DARGAN,
DARK CORNER,
DARKES FOREST,
DARKWOOD,
DARLING POINT,"$1,890 "
DARLINGHURST,$850 
DARLINGTON,$770 
DARLINGTON,N/A
DARLINGTON POINT,$250 
DARTBROOK,
DARUKA,N/A
DAVIDSON,$950 
DAVIS CREEK,
DAVISTOWN,$490 
DAWES POINT,N/A
DAYSDALE,
DEAN PARK,$365 
DEE WHY,$795 
DEEP CREEK,
DEEP CREEK,
DEEP CREEK,
DEEPWATER,N/A
DEER VALE,
DELEGATE,N/A
DELUNGRA,N/A
DENHAM COURT,$550 
DENHAMS BEACH,$455 
DENILIQUIN,$270 
DENISTONE,$685 
DENISTONE EAST,$750 
DENISTONE WEST,$550 
DENMAN,$360 
DERRIWONG,
DEUA,
DEUA RIVER VALLEY,
DHARRUK,$340 
DIAMOND BEACH,$395 
DIGNAMS CREEK,
DINOGA,
DIRTY CREEK,
DOBIES BIGHT,
DOCTOR GEORGE MOUNTAIN,
DOLANS BAY,N/A
DOLLS POINT,N/A
DOLPHIN POINT,N/A
DONALD CREEK,
DONDINGALONG,N/A
DOON DOON,
DOONSIDE,$380 
DOORALONG,N/A
DORA CREEK,$395 
DORRIGO,$320 
DORRIGO MOUNTAIN,
DORROUGHBY,
DOUBLE BAY,"$1,500 "
DOUBTFUL CREEK,
DOUGLAS PARK,N/A
DOVER HEIGHTS,"$1,450 "
DOWNSIDE,
DOYALSON,N/A
DOYALSON NORTH,
DRAKE,N/A
DRAKE VILLAGE,
DRIPSTONE,
DRUMMOYNE,$750 
DUBBO,$350 
DUBBO EAST,
DUBBO GROVE,
DUBBO WEST,
DUCKENFIELD,
DUCKMALOI,
DUDLEY,$478 
DUFFYS FOREST,N/A
DULGUIGAN,
DULWICH HILL,$700 
DUM DUM,
DUMARESQ,
DUNBIBLE,N/A
DUNBOGAN,$470 
DUNDAS,$568 
DUNDAS VALLEY,$495 
DUNDEE,
DUNDURRABIN,
DUNEDOO,N/A
DUNGAY,
DUNGOG,$325 
DUNGOWAN,
DUNKELD,
DUNMORE,
DUNOLLY,
DUNOON,N/A
DUNS CREEK,N/A
DURAL,
DURAL,$655 
DURAMANA,
DURANBAH,
DURI,N/A
DURRAS NORTH,
DURREN DURREN,
DUVAL,
DYERS CROSSING,N/A
DYRAABA,
DYRRING,
EAGLE VALE,$400 
EAGLETON,
EARLWOOD,$670 
EAST ALBURY,$368 
EAST BALLINA,$560 
EAST BOWRAL,$500 
EAST BRANXTON,$390 
EAST CORRIMAL,$530 
EAST GOSFORD,$465 
EAST GRESFORD,N/A
EAST HILLS,$545 
EAST JINDABYNE,N/A
EAST KEMPSEY,$280 
EAST KILLARA,$955 
EAST KURRAJONG,N/A
EAST LINDFIELD,"$1,070 "
EAST LISMORE,$380 
EAST LYNNE,
EAST MAITLAND,$393 
EAST RYDE,N/A
EAST SEAHAM,N/A
EAST TAMWORTH,$358 
EAST WAGGA WAGGA,N/A
EAST WARDELL,N/A
EASTERN CREEK,$360 
EASTGARDENS,$815 
EASTLAKES,$690 
EASTWOOD,$650 
EATONSVILLE,
EBENEZER,$483 
EBOR,N/A
EDEN,$400 
EDEN CREEK,
EDENSOR PARK,$480 
EDGECLIFF,$900 
EDGEROI,
EDGEWORTH,$410 
EDITH,
EDMONDSON PARK,$570 
EGLINTON,$418 
ELANDS,$230 
ELANORA HEIGHTS,$735 
ELDERSLIE,
ELDERSLIE,$490 
ELEEBANA,$500 
ELERMORE VALE,$440 
ELIZABETH BAY,N/A
ELIZABETH BEACH,N/A
ELLALONG,$355 
ELLAND,
ELLANGOWAN,N/A
ELLENBOROUGH,
ELLERSTON,
ELLIS LANE,N/A
ELONG ELONG,
ELRINGTON,
ELSMORE,
ELTHAM,
ELVINA BAY,
EMERALD BEACH,$463 
EMERALD HILL,
EMERTON,$315 
EMMAVILLE,N/A
EMPIRE BAY,$480 
EMPIRE VALE,
EMU HEIGHTS,$460 
EMU PLAINS,$460 
EMU SWAMP,
ENFIELD,$580 
ENFIELD SOUTH,
ENGADINE,$620 
ENGLORIE PARK,$415 
ENMORE,$790 
ENMORE,
ENNGONIA,
EPPING,$650 
ERARING,N/A
ERIGOLIA,
ERINA,$520 
ERINA FAIR,
ERINA HEIGHTS,N/A
ERMINGTON,$520 
EROWAL BAY,$370 
ERROWANBANG,
ERSKINE PARK,$393 
ERSKINEVILLE,$730 
ESCHOL PARK,$410 
ESTELLA,$380 
ETTALONG BEACH,$385 
ETTRICK,
EUABALONG,
EUBERTA,
EUCHAREENA,
EUCUMBENE,N/A
EUGOWRA,N/A
EUMUNGERIE,
EUNANOREENYA,
EUNGAI CREEK,N/A
EUNGAI RAIL,N/A
EUNGELLA,
EUREKA,
EUROBODALLA,
EUROKA,N/A
EURUNDEREE,
EUSTON,N/A
EVANS HEAD,$478 
EVANS PLAINS,
EVELEIGH,N/A
EVIRON,
EWINGAR,
EWINGSDALE,$800 
EXETER,N/A
FAILFORD,N/A
FAIRFIELD,$440 
FAIRFIELD EAST,$430 
FAIRFIELD HEIGHTS,$510 
FAIRFIELD WEST,$470 
FAIRLIGHT,"$1,213 "
FAIRY HILL,N/A
FAIRY MEADOW,$525 
FALLS CREEK,N/A
FAR MEADOW,N/A
FARLEY,N/A
FARMBOROUGH HEIGHTS,$495 
FARNHAM,
FARRANTS HILL,
FASSIFERN,N/A
FAULCONBRIDGE,$430 
FAULKLAND,
FEDERAL,N/A
FENNELL BAY,$410 
FERN BAY,$510 
FERNBANK CREEK,
FERNBROOK,
FERNHILL,N/A
FERNLEIGH,N/A
FERNMOUNT,N/A
FERNVALE,N/A
FIDDLETOWN,
FIFIELD,
FIGTREE,$500 
FINGAL BAY,$430 
FINGAL HEAD,N/A
FINLEY,N/A
FIREFLY,N/A
FISHERMANS BAY,
FISHERMANS PARADISE,N/A
FISHERMANS REACH,
FISHING POINT,$440 
FITZROY FALLS,N/A
FIVE DOCK,$755 
FLETCHER,$523 
FLINDERS,$550 
FLORAVILLE,$550 
FLYNNS BEACH,
FORBES,$280 
FORBESDALE,
FORDS BRIDGE,
FOREST HILL,$318 
FOREST LODGE,$900 
FOREST REEFS,N/A
FORESTVILLE,$850 
FORRESTERS BEACH,$510 
FORSTER,$430 
FORSTER SHOPPING VILLAGE,
FOSTERTON,
FOUNTAINDALE,N/A
FOUR MILE CREEK,
FOXGROUND,
FRAZERS CREEK,N/A
FREDERICKTON,N/A
FREEMANS REACH,$470 
FREEMANS WATERHOLE,
FREEMANTLE,
FRENCH PARK,
FRENCHS FOREST,$875 
FRESHWATER,"$1,350 "
FROGMORE,
FULLERTON,
FULLERTON COVE,N/A
FURRACABAD,
GALONG,N/A
GALSTON,$650 
GANMAIN,N/A
GARAH,
GARDEN SUBURB,$458 
GAREMA,
GARLAND,
GARRA,
GARTHOWEN,
GATESHEAD,$380 
GELSTON PARK,
GEMALLA,
GENEVA,N/A
GEORGES HALL,$550 
GEORGES PLAINS,
GEORGETOWN,$450 
GEORGICA,N/A
GEROGERY,N/A
GERRINGONG,$555 
GERROA,N/A
GEURIE,
GIANTS CREEK,
GIBBERAGEE,
GIDGINBUNG,
GILEAD,
GILGAI,N/A
GILGANDRA,$260 
GILLIESTON HEIGHTS,$430 
GILMORE,
GINGKIN,
GIRARDS HILL,$430 
GIRILAMBONE,
GIRRAL,
GIRRALONG,
GIRRAWEEN,$480 
GIRVAN,N/A
GLADESVILLE,$700 
GLADSTONE,N/A
GLANMIRE,
GLEBE,$850 
GLEN ALPINE,$580 
GLEN AYR,
GLEN DAVIS,
GLEN INNES,$250 
GLEN MARTIN,
GLEN OAK,N/A
GLEN WILLIAM,
GLENBROOK,$560 
GLENCOE,
GLENDALE,$375 
GLENDENNING,$420 
GLENDON BROOK,N/A
GLENFIELD,$475 
GLENFIELD PARK,$340 
GLENHAVEN,$750 
GLENIFFER,N/A
GLENMORE PARK,$490 
GLENNING VALLEY,$440 
GLENORIE,$565 
GLENQUARIE,
GLENREAGH,N/A
GLENRIDDING,N/A
GLENROY,
GLENROY,$363 
GLENTHORNE,N/A
GLENUGIE,N/A
GLENWOOD,$600 
GLOSSODIA,$440 
GLOUCESTER,$345 
GOBBAGOMBALIN,$420 
GODFREYS CREEK,
GOL GOL,$360 
GOLLAN,
GOLSPIE,
GOODNIGHT,
GOODOOGA,
GOOGONG,$655 
GOOLGOWI,N/A
GOOLMA,
GOOLMANGAR,
GOOLOOGONG,N/A
GOONELLABAH,$400 
GOONENGERRY,N/A
GOONUMBLA,
GORDON,$963 
GORMANS HILL,$300 
GOROKAN,$350 
GOSFORD,N/A
GOULBURN,$360 
GOULBURN NORTH,
GOWRIE,N/A
GOWRIE,
