"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2015","2015",7616168,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2016","2016",7732858,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2017","2017",7867936,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2018","2018",7980168,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2019","2019",8089817,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2001","2001",45265,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2002","2002",45816,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2003","2003",46180,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2004","2004",46505,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2005","2005",47004,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2006","2006",47566,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2007","2007",48140,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2008","2008",48518,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2009","2009",48814,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2010","2010",49222,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2011","2011",49451,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2012","2012",49785,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2013","2013",50338,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2014","2014",50990,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2015","2015",51486,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2016","2016",52171,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2017","2017",52989,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2018","2018",53705,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10050","Albury (C)","A","Annual","2019","2019",54353,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2001","2001",29058,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2002","2002",28920,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2003","2003",28739,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2004","2004",28524,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2005","2005",28459,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2006","2006",28479,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2007","2007",28599,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2008","2008",28923,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2009","2009",29281,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2010","2010",29524,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2011","2011",29678,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2012","2012",29836,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2013","2013",29983,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2014","2014",30085,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2015","2015",30193,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2016","2016",30313,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2017","2017",30617,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2018","2018",30681,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10130","Armidale Regional (A)","A","Annual","2019","2019",30779,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2001","2001",37856,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2002","2002",38417,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2003","2003",38870,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2004","2004",39120,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2005","2005",39305,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2006","2006",39537,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2007","2007",39824,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2008","2008",40020,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2009","2009",40295,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2010","2010",40571,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2011","2011",40747,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2012","2012",41118,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2013","2013",41510,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2014","2014",41881,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2015","2015",42336,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2016","2016",42993,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2017","2017",43480,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2018","2018",44172,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10250","Ballina (A)","A","Annual","2019","2019",44628,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2001","2001",2751,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2002","2002",2703,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2003","2003",2661,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2004","2004",2596,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2005","2005",2545,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2006","2006",2507,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2007","2007",2473,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2008","2008",2433,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2009","2009",2404,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2010","2010",2381,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2011","2011",2353,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2012","2012",2363,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2013","2013",2381,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2014","2014",2376,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2015","2015",2364,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2016","2016",2330,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2017","2017",2343,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2018","2018",2338,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10300","Balranald (A)","A","Annual","2019","2019",2338,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2001","2001",35504,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2002","2002",35831,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2003","2003",36084,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2004","2004",36245,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2005","2005",36547,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2006","2006",36916,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2007","2007",37272,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2008","2008",37904,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2009","2009",38848,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2010","2010",39484,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2011","2011",39960,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2012","2012",40301,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2013","2013",40727,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2014","2014",41157,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2015","2015",41694,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2016","2016",42244,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2017","2017",42806,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2018","2018",43163,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10470","Bathurst Regional (A)","A","Annual","2019","2019",43618,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2001","2001",129075,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2002","2002",129377,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2003","2003",130598,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2004","2004",131144,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2005","2005",132112,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2006","2006",133205,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2007","2007",135831,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2008","2008",139556,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2009","2009",142527,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2010","2010",144295,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2011","2011",144985,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2012","2012",148028,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2013","2013",151309,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2014","2014",154980,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2015","2015",159222,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2016","2016",164534,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2017","2017",170266,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2018","2018",174218,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10500","Bayside (A)","A","Annual","2019","2019",178396,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2001","2001",30425,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2002","2002",30790,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2003","2003",31056,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2004","2004",31406,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2005","2005",31608,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2006","2006",31829,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2007","2007",32183,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2008","2008",32367,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2009","2009",32620,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2010","2010",32962,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2011","2011",33128,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2012","2012",33288,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2013","2013",33430,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2014","2014",33562,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2015","2015",33713,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2016","2016",33941,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2017","2017",34117,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2018","2018",34315,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10550","Bega Valley (A)","A","Annual","2019","2019",34476,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2001","2001",12634,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2002","2002",12673,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2003","2003",12705,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2004","2004",12672,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2005","2005",12682,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2006","2006",12716,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2007","2007",12773,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2008","2008",12787,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2009","2009",12837,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2010","2010",12891,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2011","2011",12923,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2012","2012",12909,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2013","2013",12920,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2014","2014",12929,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2015","2015",12936,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2016","2016",12951,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2017","2017",12951,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2018","2018",12953,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10600","Bellingen (A)","A","Annual","2019","2019",12996,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2001","2001",8075,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2002","2002",8058,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2003","2003",8035,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2004","2004",8014,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2005","2005",8076,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2006","2006",8160,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2007","2007",8204,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2008","2008",8237,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2009","2009",8282,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2010","2010",8291,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2011","2011",8297,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2012","2012",8365,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2013","2013",8436,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2014","2014",8519,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2015","2015",8568,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2016","2016",8609,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2017","2017",8667,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2018","2018",8700,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10650","Berrigan (A)","A","Annual","2019","2019",8750,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2001","2001",263103,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2002","2002",267048,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2003","2003",268806,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2004","2004",271434,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2005","2005",275206,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2006","2006",278894,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2007","2007",284925,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2008","2008",292002,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2009","2009",299450,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2010","2010",306601,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2011","2011",312346,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2012","2012",317735,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2013","2013",324797,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2014","2014",331825,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2015","2015",339449,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","10750","Blacktown (C)","A","Annual","2016","2016",348030,,
